ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
29,4051.T,GMOフィナンシャルゲート,58.5,75,40,72,⏸️ 様子見,5400.0,333.9,0.31,0.09399896262004702,93.0,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(93.0倍) / ⚠ペナルティ1件
30,9531.T,東京ガス,58.4,44,47,74,⏸️ 様子見,7584.0,21.9,0.01,0.04201495241756777,0.72,green_energy,政策(green_energy) / GC形成中 / 75日MA上 / 信用良好(0.7倍) / ⚠ペナルティ1件
31,9432.T,NTT,58.4,50,62,78,⏸️ 様子見,154.7,11.5,0.01,0.12114458486888359,84.62,ai_digital,政策(ai_digital) / 割安 / ⚠信用過熱(84.6倍) / ⚠ペナルティ1件
32,7013.T,IHI,58.2,52,45,90,⏸️ 様子見,3734.0,25.47,0.01,0.04353174695530457,11.29,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(11.3倍) / ⚠ペナルティ1件
33,5707.T,東邦亜鉛,58.2,37,67,72,⏸️ 様子見,1395.0,5.89,0.01,0.1328381246382404,1.93,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安
34,4565.T,ネクセラファーマ,58.0,78,35,72,⏸️ 様子見,928.0,95.9,0.03,0.02823542887688284,22.21,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(22.2倍) / ⚠ペナルティ1件
35,6857.T,アドバンテスト,58.0,32,58,84,⏸️ 様子見,23650.0,27.35,0.07,0.24891125623731583,1.63,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上
36,5857.T,AREホールディングス,57.4,42,75,72,⏸️ 様子見,3845.0,6.5,0.02,0.2627600788535591,75.72,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(75.7倍) / ⚠ペナルティ1件
37,3482.T,ロードスターキャピタル,57.0,41,75,72,⏸️ 様子見,3295.0,5.9,0.02,0.3496956352804041,51.8,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(51.8倍) / ⚠ペナルティ1件
38,1803.T,清水建設,56.6,47,62,76,⏸️ 様子見,3114.0,8.9,0.01,0.09395139790077497,4.15,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(4.2倍) / ⚠ペナルティ1件
